,pos,word_en,word_sp,positive,new_negetive ,objective,index,synset,meaning,negative
5092,a,infatuated,,0.75,0.0,0.25,0,1465668,"marked by foolish or unreasoning fondness; ""gaga over the rock group's new album""; ""he was infatuated with her"" ",0.0
5093,a,infeasible,,0.0,0.75,0.25,0,1823574,"not capable of being carried out or put into practice; ""refloating the sunken ship proved impracticable because of its fragility""; ""a suggested reform that was unfeasible in the prevailing circumstances"" ",-0.75
5094,a,infected,,0.0,0.625,0.375,0,2113827,"containing or resulting from disease-causing organisms; ""a septic sore throat""; ""a septic environment""; ""septic sewage"" ",-0.625
5095,a,infectious,,0.625,0.0,0.375,1,1302811,"easily spread; ""fear is exceedingly infectious; children catch it from their elders""- Bertrand Russell ",0.0
5097,a,infective,,0.0,0.5,0.5,1,2114746,"caused by infection or capable of causing infection; ""viruses and other infective agents""; ""a carrier remains infective without himself showing signs of the disease"" ",-0.5
5098,a,infelicitous,,0.0,0.5,0.5,1,1051814,"marked by or producing unhappiness; ""infelicitous circumstances""; ""unhappy caravans, straggling afoot through swamps and canebrakes""- American Guide Series ",-0.5
5100,a,inferential,,0.125,0.0,0.875,2,1296961,"resembling or dependent on or arrived at by inference; ""an illative conclusion""; ""inferential reasoning"" ",0.0
5103,a,inferior,,0.0,0.125,0.875,4,2440996,"lower than a given reference point; ""inferior alveolar artery"" ",-0.125
5107,a,infertile,estéril,0.0,0.625,0.375,0,1002377,"incapable of reproducing; ""an infertile couple"" ",-0.625
5108,a,infinite,,0.125,0.0,0.875,3,5718,"total and all-embracing; ""God's infinite wisdom"" ",0.0
5109,a,infirm,,0.0,0.25,0.75,1,1992555,"lacking firmness of will or character or purpose; ""infirm of purpose; give me the daggers"" - Shakespeare ",-0.25
5110,a,inflamed,,0.0,0.125,0.875,2,59028,adorned with tongues of flame ,-0.125
5112,a,inflammable,,0.0,0.5,0.5,0,473658,easily ignited ,-0.5
5113,a,inflammatory,,0.25,0.0,0.75,1,1897378,arousing to action or rebellion ,0.0
5115,a,inflated,,0.125,0.0,0.875,1,1850446,"pretentious (especially with regard to language or ideals); ""high-flown talk of preserving the moral tone of the school""; ""a high-sounding dissertation on the means to attain social revolution"" ",0.0
5117,a,inflected,,0.25,0.0,0.75,1,699651,"showing alteration in form (especially by the addition of affixes); ""`boys' and `swam' are inflected English words""; ""German is an inflected language"" ",0.0
5118,a,inflexible,,0.0,0.375,0.625,3,1029151,"incapable of adapting or changing to meet circumstances; ""a rigid disciplinarian""; ""an inflexible law""; ""an unbending will to dominate"" ",-0.375
5119,a,influential,,0.125,0.0,0.875,0,1830134,"having or exercising influence or power; ""an influential newspaper""; ""influential leadership for peace"" ",0.0
5120,a,informal,,0.125,0.0,0.875,3,1076145,"having or fostering a warm or friendly and informal atmosphere; ""had a cozy chat""; ""a relaxed informal manner""; ""an intimate cocktail lounge""; ""the small room was cozy and intimate"" ",0.0
5122,a,informational,,0.125,0.0,0.875,0,2749150,relating to or having the nature of information ,0.0
5123,a,informative,,0.125,0.0,0.875,2,1304570,providing or conveying information ,0.0
5125,a,informatory,,0.125,0.0,0.875,0,1304570,providing or conveying information ,0.0
5126,a,informed,,0.375,0.0,0.625,0,1306273,"having much knowledge or education; ""an informed public""; ""informed opinion""; ""the informed customer"" ",0.0
5127,a,infrangible,,0.0,0.75,0.25,0,709959,"difficult or impossible to break or separate into parts; ""an infrangible series"" ",-0.75
5128,a,infrasonic,,0.375,0.0,0.625,0,174879,having frequencies below those of audible sound ,0.0
5129,a,infrequent,,0.0,0.625,0.375,0,1067193,"not frequent; not occurring regularly or at short intervals; ""infrequent outbursts of temper"" ",-0.625
5130,a,ingenious,,0.625,0.0,0.375,0,61885,"showing inventiveness and skill; ""a clever gadget""; ""the cunning maneuvers leading to his success""; ""an ingenious solution to the problem"" ",0.0
5131,a,inglorious,,0.0,0.5,0.5,1,1122411,"not bringing honor and glory; ""some mute inglorious Milton here may rest"" ",-0.5
5132,a,ingratiating,,0.25,0.0,0.75,1,908143,"calculated to please or gain favor; ""a smooth ingratiating manner"" ",0.0
5134,a,ingratiatory,,0.25,0.0,0.75,1,908143,"calculated to please or gain favor; ""a smooth ingratiating manner"" ",0.0
5135,a,ingrowing,,0.0,0.25,0.75,0,1177435,"growing abnormally into the flesh; ""an ingrown toenail"" ",-0.25
5136,a,ingrown,,0.0,0.25,0.75,0,1177435,"growing abnormally into the flesh; ""an ingrown toenail"" ",-0.25
5137,a,inhabitable,,0.0,0.5,0.5,0,1423851,"fit for habitation; ""the habitable world"" ",-0.5
5138,a,inharmonious,inarmónico,0.0,0.75,0.25,0,1164072,not in harmony ,-0.75
5139,a,inherited,,0.0,0.125,0.875,0,1314537,"occurring among members of a family usually by heredity; ""an inherited disease""; ""familial traits""; ""genetically transmitted features"" ",-0.125
5140,a,inheriting,,0.0,0.125,0.875,0,1315249,having the legal right to inherit ,-0.125
5141,a,inhomogeneous,,0.0,0.5,0.5,0,1199663,not homogeneous ,-0.5
5142,a,inhuman,,0.0,0.625,0.375,0,1263971,"without compunction or human feeling; ""in cold blood""; ""cold-blooded killing""; ""insensate destruction"" ",-0.625
5143,a,inhumane,,0.0,0.75,0.25,0,1262611,"lacking and reflecting lack of pity or compassion; ""humans are innately inhumane; this explains much of the misery and suffering in the world""; ""biological weapons are considered too inhumane to be used"" ",-0.75
5144,a,inhumed,,0.0,0.375,0.625,0,292611,"placed in a grave; ""the hastily buried corpses"" ",-0.375
5145,a,inimical,,0.0,0.5,0.5,0,1246388,"not friendly; ""an unfriendly act of aggression""; ""an inimical critic"" ",-0.5
5146,a,iniquitous,,0.0,0.75,0.25,0,2514543,"characterized by iniquity; wicked because it is believed to be a sin; ""iniquitous deeds""; ""he said it was sinful to wear lipstick""; ""ungodly acts"" ",-0.75
5147,a,injectable,,0.5,0.0,0.5,0,1317678,(used of drugs) capable of being injected ,0.0
5148,a,injured,,0.0,0.625,0.375,0,1317954,"harmed; ""injured soldiers""; ""injured feelings"" ",-0.625
5149,a,injurious,,0.0,0.25,0.75,0,1161059,"harmful to living things; ""deleterious chemical additives"" ",-0.25
5150,a,inlaid,,0.0,0.125,0.875,0,59131,adorned by inlays ,-0.125
5151,a,inmost,,0.375,0.0,0.625,1,950465,"situated or occurring farthest within; ""the innermost chamber"" ",0.0
5152,a,innate,,0.0,0.625,0.375,0,1637184,"not established by conditioning or learning; ""an unconditioned reflex"" ",-0.625
5153,a,inner,,0.125,0.0,0.875,1,950272,"located or occurring within or closer to a center; ""an inner room"" ",0.0
5155,a,innermost,,0.375,0.0,0.625,1,950465,"situated or occurring farthest within; ""the innermost chamber"" ",0.0
5156,a,innocuous,,0.0,0.75,0.25,0,1611839,not injurious to physical or mental health ,-0.75
5157,a,innovational,,0.625,0.0,0.375,0,1687586,"being or producing something like nothing done or experienced or created before; ""stylistically innovative works""; ""innovative members of the artistic community""; ""a mind so innovational, so original"" ",0.0
5158,a,innovative,,0.5,0.0,0.5,0,1876261,"ahead of the times; ""the advanced teaching methods""; ""had advanced views on the subject""; ""a forward-looking corporation""; ""is British industry innovative enough?"" ",0.0
5160,a,innoxious,,0.0,0.375,0.625,0,1611973,having no adverse effect ,-0.375
5161,a,innumerate,,0.25,0.0,0.75,0,832200,lacking knowledge and understanding of mathematical concepts and methods ,0.0
5162,a,inodorous,,0.0,0.25,0.75,0,1057775,"having no odor; ""odorless gas""; ""odorless flowers"" ",-0.25
5163,a,inoffensive,,0.0,0.625,0.375,2,908483," substituting a mild term for a harsher or distasteful one; ""`peepee' is a common euphemistic term"" ",-0.625
5164,a,inoperable,,0.0,0.75,0.25,0,2125198,not able to perform its normal function ,-0.75
5165,a,inoperative,inoperativa,0.0,0.125,0.875,0,833575,"not working or taking effect; ""an inoperative law"" ",-0.125
5166,a,inopportune,inoportuno,0.0,0.625,0.375,0,1661914,"not opportune; ""arrived at a most inopportune hour""; ""an inopportune visit"" ",-0.625
5167,a,inorganic,,0.0,0.125,0.875,0,1679244,"relating or belonging to the class of compounds not having a carbon basis; ""hydrochloric and sulfuric acids are called inorganic substances"" ",-0.125
5169,a,inpouring,,0.0,0.125,0.875,0,1295337," pouring inward; ""inpouring throngs of immigrants"" ",-0.125
5170,a,inquisitive,,0.5,0.0,0.5,0,664879,"showing curiosity; ""if someone saw a man climbing a light post they might get inquisitive""; ""raised a speculative eyebrow"" ",0.0
5172,a,inquisitorial,,0.5,0.0,0.5,1,879624,"marked by inquisitive interest; especially suggestive of an ecclesiastical inquisitor; ""the press was inquisitorial to the point of antagonism""; ""a practical police force with true inquisitorial talents""- Waldo Frank ",0.0
5173,a,inquisitory,,0.25,0.0,0.75,0,879918,"diligent and thorough in inquiry or investigation; ""a probing inquiry""; ""a searching investigation of their past dealings"" ",0.0
5174,a,insane,,0.0,0.5,0.5,0,2074092,"afflicted with or characteristic of mental derangement; ""was declared insane""; ""insane laughter"" ",-0.5
5175,a,insecure,,0.0,0.75,0.25,3,2524443,not safe from attack ,-0.75
5176,a,insensate,,0.0,0.625,0.375,1,1263971,"without compunction or human feeling; ""in cold blood""; ""cold-blooded killing""; ""insensate destruction"" ",-0.625
5177,a,insensible,,0.5,0.0,0.5,2,1748936,"barely able to be perceived; ""the transition was almost indiscernible""; ""an almost insensible change"" ",0.0
5180,a,insensitive,,0.0,0.625,0.375,0,2105375,"not responsive to physical stimuli; ""insensitive to radiation"" ",-0.625
5182,a,insidious,,0.0,0.625,0.375,2,1162406,"working or spreading in a hidden and usually injurious way; ""glaucoma is an insidious disease""; ""a subtle poison"" ",-0.625
5183,a,insightful,,0.625,0.0,0.375,0,1745296,"exhibiting insight or clear and deep perception; ""an insightful parent""; ""the chapter is insightful and suggestive of new perspectives""-R.C.Angell ",0.0
5184,a,insignificant,,0.25,0.0,0.75,1,1498298,"signifying nothing; ""insignificant sounds"" ",0.0
5186,a,insinuating,,0.25,0.0,0.75,0,908143,"calculated to please or gain favor; ""a smooth ingratiating manner"" ",0.0
5187,a,insipid,,0.0,0.375,0.625,0,2399595,"lacking taste or flavor or tang; ""a bland diet""; ""insipid hospital food""; ""flavorless supermarket tomatoes""; ""vapid beer""; ""vapid tea"" ",-0.375
5188,a,in-situ,,0.0,0.125,0.875,0,353604,"being in the original position; not having been moved; ""the archeologists could date the vase because it was in-situ""; ""an in-situ investigator"" ",-0.125
5189,a,insoluble,,0.25,0.0,0.75,0,2265891,(of a substance) incapable of being dissolved ,0.0
5192,a,insolvable,,0.375,0.0,0.625,0,2266771,"not easily solved; ""an apparantly insolvable problem""; ""public finance...had long presented problems unsolvable or at least unsolved""- C.L.Jones ",0.0
5193,a,insolvent,,0.0,0.75,0.25,0,2026442,"unable to meet or discharge financial obligations; ""an insolvent person""; ""an insolvent estate"" ",-0.75
5194,a,insomniac,,0.0,0.625,0.375,0,187176,"experiencing or accompanied by sleeplessness; ""insomniac old people""; ""insomniac nights""; ""lay sleepless all night""; ""twenty watchful, weary, tedious nights""- Shakespeare ",-0.625
5195,a,inspirational,,0.625,0.0,0.375,0,2055773,imparting a divine influence on the mind and soul ,0.0
5196,a,inspired,,0.875,0.0,0.125,0,1121507,"being of such surpassing excellence as to suggest inspiration by the gods; ""her pies were simply divine""; ""the divine Shakespeare""; ""an elysian meal""; ""an inspired performance"" ",0.0
5197,a,inspiring,inspirador,0.5,0.0,0.5,0,1323096,stimulating or exalting to the spirit ,0.0
5198,a,inspiriting,,0.5,0.0,0.5,0,866894,cheerfully encouraging ,0.0
5199,a,instigative,,0.25,0.0,0.75,0,1897378,arousing to action or rebellion ,0.0
5200,a,instinct,,0.0,0.5,0.5,0,1085442,"(followed by `with')deeply filled or permeated; ""imbued with the spirit of the Reformation""; ""words instinct with love""; ""it is replete with misery"" ",-0.5
5201,a,instrumental,,0.125,0.0,0.875,1,1196775,"serving or acting as a means or aid; ""instrumental in solving the crime"" ",0.0
5202,a,insubordinate,,0.0,0.25,0.75,1,695938,disposed to or engaged in defiance of established authority ,-0.25
5204,a,insubstantial,,0.0,0.125,0.875,0,625774,"lacking material form or substance; unreal; ""as insubstantial as a dream""; ""an insubstantial mirage on the horizon"" ",-0.125
5205,a,insufferable,,0.375,0.0,0.625,0,2436025,"used of persons or their behavior; ""impossible behavior""; ""insufferable insolence"" ",0.0
5206,a,insular,,0.375,0.0,0.625,2,637267,"narrowly restricted in outlook or scope; ""little sympathy with parochial mentality""; ""insular attitudes toward foreigners"" ",0.0
5208,a,insulting,,0.0,0.625,0.375,0,1995288,expressing extreme contempt ,-0.625
5209,a,insuperable,,0.0,0.5,0.5,0,570225,impossible to surmount ,-0.5
5211,a,insurable,,0.625,0.0,0.375,0,2096923,capable of being insured or eligible to be insured ,0.0
5212,a,insured,,0.0,0.375,0.625,0,2096759,"covered by insurance; ""an insured risk""; ""all members of the film cast and crew are insured"" ",-0.375
5213,a,insurmountable,,0.0,0.5,0.5,1,570225,impossible to surmount ,-0.5
5215,a,intact,,0.5,0.0,0.5,0,515870,"constituting the undiminished entirety; lacking nothing essential especially not damaged; ""a local motion keepeth bodies integral""- Bacon; ""was able to keep the collection entire during his lifetime""; ""fought to keep the union intact"" ",0.0
5217,a,intangible,,0.0,0.25,0.75,2,1273454,"hard to pin down or identify; ""an intangible feeling of impending disaster"" ",-0.25
5220,a,integral,,0.5,0.0,0.5,1,515870,"constituting the undiminished entirety; lacking nothing essential especially not damaged; ""a local motion keepeth bodies integral""- Bacon; ""was able to keep the collection entire during his lifetime""; ""fought to keep the union intact"" ",0.0
5221,a,intellectual,,0.5,0.0,0.5,0,1780343,"of or associated with or requiring the use of the mind; ""intellectual problems""; ""the triumph of the rational over the animal side of man"" ",0.0
5223,a,intelligent,,0.125,0.0,0.875,1,2271052,"possessing sound knowledge; ""well-informed readers"" ",0.0
5227,a,intelligible,,0.25,0.0,0.75,0,533452,capable of being apprehended or understood ,0.0
5229,a,intemperate,,0.0,0.125,0.875,0,2403030,"(of weather or climate) not mild; subject to extremes; ""an intemperate climate""; ""intemperate zones"" ",-0.125
5232,a,intense,,0.25,0.0,0.75,2,393683,"(of color) having the highest saturation; ""vivid green""; ""intense blue"" ",0.0
5233,a,intensified,,0.0,0.125,0.875,0,1512142,"made more intense; ""the intensified scrutiny of the candidate's background"" ",-0.125
5234,a,intensifying,,0.125,0.0,0.875,0,1340256,increasing in strength or intensity ,0.0
5235,a,intensive,,0.0,0.25,0.75,1,2858941,"tending to give force or emphasis; ""an intensive adverb"" ",-0.25
5236,a,intentional,,0.125,0.0,0.875,0,1338116,"characterized by conscious design or purpose; ""intentional damage""; ""a knowing attempt to defraud""; ""a willful waste of time"" ",0.0
5237,a,interchangeable,,0.5,0.0,0.5,1,1978532,"capable of replacing or changing places with something else; permitting mutual substitution without loss of function or suitability; ""interchangeable electric outlets"" ""interchangeable parts"" ",0.0
5238,a,interested,,0.625,0.0,0.375,0,1342237,"having or showing interest; especially curiosity or fascination or concern; ""an interested audience""; ""interested in sports""; ""was interested to hear about her family""; ""interested in knowing who was on the telephone""; ""interested spectators"" ",0.0
5240,a,interesting,,0.375,0.0,0.625,0,1343918,arousing or holding the attention ,0.0
5241,a,interfaith,,0.375,0.0,0.625,0,1783863,"involving persons of different religious faiths; ""an interfaith marriage""; ""interfaith good will"" ",0.0
5242,a,interfering,,0.0,0.75,0.25,0,1352561,"intrusive in a meddling or offensive manner; ""an interfering old woman""; ""bustling about self-importantly making an officious nuisance of himself""; ""busy about other people's business"" ",-0.75
5243,a,interior,,0.375,0.0,0.625,0,952867,"situated within or suitable for inside a building; ""an interior scene""; ""interior decoration""; ""an interior bathroom without windows"" ",0.0
5244,a,interlobular,,0.125,0.0,0.875,0,2948198,between lobes or lobules ,0.0
5245,a,interlocutory,,0.125,0.0,0.875,0,2828482,consisting of dialogue ,0.0
5246,a,intermediate,,0.0,0.25,0.75,1,1531957,"around the middle of a scale of evaluation; ""an orange of average size""; ""intermediate capacity""; ""medium bombers"" ",-0.25
5247,a,intermeshed,,0.125,0.0,0.875,0,255453,"caught as if in a mesh; ""enmeshed in financial difficulties"" ",0.0
5248,a,interminable,,0.125,0.0,0.875,0,1439784,"tiresomely long; seemingly without end; ""endless debates""; ""an endless conversation""; ""the wait seemed eternal""; ""eternal quarreling""; ""an interminable sermon"" ",0.0
5249,a,intermolecular,,0.0,0.125,0.875,0,2901178,"existing or acting between molecules; ""intermolecular forces""; ""intermolecular condensation"" ",-0.125
5250,a,internal,,0.5,0.0,0.5,4,1348835,"innermost or essential; ""the inner logic of Cubism""; ""the internal contradictions of the theory""; ""the intimate structure of matter"" ",0.0
5251,a,international,,0.0,0.125,0.875,1,1037885,"from or between other countries; ""external commerce""; ""international trade""; ""developing nations need outside help"" ",-0.125
5253,a,internationalist,,0.375,0.0,0.625,0,1569002,influenced by or advocating internationalism ,0.0
5254,a,internationalistic,,0.375,0.0,0.625,0,1569002,influenced by or advocating internationalism ,0.0
5255,a,internecine,,0.0,0.5,0.5,1,249303,"characterized by bloodshed and carnage for both sides; ""internecine war"" ",-0.5
5256,a,interpretable,,0.625,0.0,0.375,0,938979,"capable of being understood; ""explainable phenomena"" ",0.0
5257,a,interpreted,,0.25,0.0,0.75,0,1378671,"understood in a certain way; made sense of; ""a word taken literally""; ""a smile taken as consent""; ""an open door interpreted as an invitation"" ",0.0
5258,a,interred,,0.0,0.375,0.625,0,292611,"placed in a grave; ""the hastily buried corpses"" ",-0.375
5259,a,intersexual,,0.0,0.125,0.875,0,2135595,existing or occurring between the sexes ,-0.125
5260,a,interspecies,,0.375,0.0,0.625,0,1341920,"arising or occurring between species; ""an interspecific hybrid"" ",0.0
5261,a,interspecific,,0.375,0.0,0.625,0,1341920,"arising or occurring between species; ""an interspecific hybrid"" ",0.0
5262,a,intestate,,0.0,0.75,0.25,0,2444894,"having made no legally valid will before death or not disposed of by a legal will; ""he died intestate""; ""intestate property"" ",-0.75
5263,a,intimate,,0.125,0.0,0.875,1,1076145,"having or fostering a warm or friendly and informal atmosphere; ""had a cozy chat""; ""a relaxed informal manner""; ""an intimate cocktail lounge""; ""the small room was cozy and intimate"" ",0.0
5269,a,intolerable,,0.0,0.625,0.375,0,2435671,"incapable of being put up with; ""an intolerable degree of sentimentality"" ",-0.625
5270,a,intoned,,0.0,0.125,0.875,0,2020609,"uttered in a monotonous cadence or rhythm as in chanting; ""their chantlike intoned prayers""; ""a singsong manner of speaking"" ",-0.125
5271,a,intoxicant,,0.0,0.5,0.5,0,1159119,causing  ,-0.5
5272,a,intoxicating,,0.0,0.5,0.5,0,1159119,causing  ,-0.5
5273,a,intractable,intratable,0.0,0.75,0.25,0,2451951,"not tractable; difficult to manage or mold; ""an intractable disposition""; ""intractable pain""; ""the most intractable issue of our era""; ""intractable metal"" ",-0.75
5274,a,intralobular,,0.125,0.0,0.875,0,2948281,inside lobes or lobules ,0.0
5275,a,intransigent,,0.0,0.75,0.25,0,1024812,"impervious to pleas, persuasion, requests, reason; ""he is adamant in his refusal to change his mind""; ""Cynthia was inexorable; she would have none of him""- W.Churchill; ""an intransigent conservative opposed to every liberal tendency"" ",-0.75
5276,a,intransitive,,0.0,0.5,0.5,0,2488907,designating a verb that does not require or cannot take a direct object ,-0.5
5277,a,intrepid,,0.25,0.0,0.75,0,250119,"invulnerable to fear or intimidation; ""audacious explorers""; ""fearless reporters and photographers""; ""intrepid pioneers"" ",0.0
5278,a,intriguing,,0.5,0.0,0.5,0,1897106,"disturbingly provocative; ""an intriguing smile"" ",0.0
5280,a,intrinsic,,0.375,0.0,0.625,0,1348258,"belonging to a thing by its very nature; ""form was treated as something intrinsic, as the very essence of the thing""- John Dewey ",0.0
5281,a,intrinsical,,0.375,0.0,0.625,0,1348258,"belonging to a thing by its very nature; ""form was treated as something intrinsic, as the very essence of the thing""- John Dewey ",0.0
5282,a,introuvable,,0.0,0.375,0.625,0,1848056,"impossible to find; ""the book is practically introuvable"" ",-0.375
5283,a,introversive,,0.375,0.0,0.625,0,1351021,directed inward; marked by interest in yourself or concerned with inner feelings ,0.0
5284,a,introvertive,,0.375,0.0,0.625,0,1351021,directed inward; marked by interest in yourself or concerned with inner feelings ,0.0
5285,a,intuitive,,0.25,0.0,0.75,1,1431471,obtained through intuition rather than from reasoning or observation ,0.0
5286,a,intumescent,,0.0,0.625,0.375,0,1174565,"abnormally distended especially by fluids or gas; ""hungry children with bloated stomachs""; ""he had a grossly distended stomach""; ""eyes with puffed (or puffy) lids""; ""swollen hands""; ""tumescent tissue""; ""puffy tumid flesh"" ",-0.625
5287,a,inured,,0.25,0.0,0.75,0,2447779,"made tough by habitual exposure; ""hardened fishermen""; ""a peasant, dark, lean-faced, wind-inured""- Robert Lynd; ""our successors...may be graver, more inured and equable men""- V.S.Pritchett ",0.0
5288,a,inutile,,0.0,0.5,0.5,0,2497743,not worth using ,-0.5
5289,a,invalid,,0.0,0.5,0.5,1,938210,"no longer valid; ""the license is invalid"" ",-0.5
5291,a,invalidated,,0.0,0.25,0.75,0,2500497,deprived of legal force ,-0.25
5292,a,invalidating,,0.0,0.875,0.125,0,2356712,establishing as invalid or untrue ,-0.875
5293,a,invariable,,0.0,0.625,0.375,0,2505716,"not liable to or capable of change; ""an invariable temperature""; ""an invariable rule""; ""his invariable courtesy"" ",-0.625
5294,a,invariant,,0.125,0.0,0.875,0,2506408,unaffected by a designated operation or transformation ,0.0
5296,a,invasive,,0.625,0.0,0.375,1,1355966,"marked by a tendency to spread especially into healthy tissue; ""invasive cancer cells"" ",0.0
5298,a,inventive,,0.375,0.0,0.625,0,643863,"(used of persons or artifacts) marked by independence and creativity in thought or action; ""an imaginative use of material""; ""the invention of the knitting frame by another ingenious English clergyman""- Lewis Mumford; ""an ingenious device""; ""had an inventive turn of mind""; ""inventive ceramics"" ",0.0
5299,a,inverse,,0.125,0.0,0.875,0,202095,reversed (turned backward) in order or nature or effect ,0.0
5301,a,invertebrate,,0.0,0.25,0.75,0,2510273,"lacking a backbone or spinal column; ""worms are an example of invertebrate animals"" ",-0.25
5302,a,invigorated,,0.25,0.0,0.75,0,2434797,with restored energy ,0.0
5303,a,invigorating,vigorizante,0.375,0.0,0.625,0,1356683,"imparting strength and vitality; ""the invigorating mountain air"" ",0.0
5304,a,invincible,,0.0,0.5,0.5,0,570322,"incapable of being overcome or subdued; ""an invincible army""; ""her invincible spirit"" ",-0.5
5305,a,inviolable,,0.125,0.0,0.875,1,2526124,"immune to attack; incapable of being tampered with; ""an impregnable fortress""; ""fortifications that made the frontier inviolable""; ""a secure telephone connection"" ",0.0
5307,a,inviolate,,0.25,0.0,0.75,1,2055900,must be kept sacred ,0.0
5308,a,invitational,,0.375,0.0,0.625,0,3134550,pertaining to or characteristic of an invitation ,0.0
5309,a,invitatory,,0.25,0.0,0.75,0,1358534,"conveying an invitation; ""a brief invitatory note"" ",0.0
5310,a,inviting,incitante,0.75,0.0,0.25,0,1358363,"attractive and tempting; ""an inviting offer"" ",0.0
5311,a,involucrate,,0.125,0.0,0.875,0,3134675,having an involucre ,0.0
5312,a,involuntary,,0.0,0.75,0.25,0,2521353,"not subject to the control of the will; ""involuntary manslaughter""; ""involuntary servitude""; ""an involuntary shudder""; ""It (becoming a hero) was involuntary. They sank my boat""- John F.Kennedy ",-0.75
5313,a,involute,,0.125,0.0,0.875,0,2318057,especially of petals or leaves in bud; having margins rolled inward ,0.0
5315,a,invulnerable,,0.25,0.0,0.75,0,2525206,"immune to attack; impregnable; ""gunners raked the beach from invulnerable positions on the cliffs"" ",0.0
5316,a,in-your-face,,0.25,0.0,0.75,0,83749,"blatantly aggressive; ""on-line hard-boiled in-your-face pornography"" ",0.0
5317,a,iodinated,,0.0,0.25,0.75,0,3005276,"treated with iodine; ""iodized salt"" ",-0.25
5318,a,iodinating,,0.0,0.5,0.5,0,1231917,"combining or causing to combine with iodine; ""the active iodinating species""; ""the in vivo iodinating mechanism"" ",-0.5
5319,a,iodised,,0.0,0.25,0.75,0,3005276,"treated with iodine; ""iodized salt"" ",-0.25
5320,a,iodized,,0.0,0.25,0.75,0,3005276,"treated with iodine; ""iodized salt"" ",-0.25
5321,a,ionised,ionizado,0.375,0.0,0.625,0,356110,converted totally or partly into ions ,0.0
5322,a,ionized,ionizado,0.375,0.0,0.625,0,356110,converted totally or partly into ions ,0.0
5323,a,irascible,,0.0,0.375,0.625,0,1135914,"quickly aroused to anger; ""a hotheaded commander"" ",-0.375
5324,a,irenic,,0.5,0.0,0.5,0,1741408,"conducive to peace; ""irenic without being namby-pamby""; ""an irenic attitude toward former antagonists"" ",0.0
5325,a,irksome,,0.0,0.25,0.75,0,1345307,"so lacking in interest as to cause mental weariness; ""a boring evening with uninteresting people""; ""the deadening effect of some routine tasks""; ""a dull play""; ""his competent but dull performance""; ""a ho-hum speaker who couldn't capture their attention""; ""what an irksome task the writing of long letters is""- Edmund Burke; ""tedious days on the train""; ""the tiresome chirping of a cricket""- Mark Twain; ""other people's dreams are dreadfully wearisome"" ",-0.25
5326,a,ironclad,,0.125,0.0,0.875,0,2155361,sheathed in iron plates for protection ,0.0
5328,a,ironlike,,0.5,0.0,0.5,0,2322885,"exhibiting strength or hardness like that of iron; ""ironlike determination""; ""ironlike nerves""; ""ironlike discipline of the Marines"" ",0.0
5329,a,irreclaimable,,0.0,0.75,0.25,0,2514819,"insusceptible of reform; ""vicious irreclaimable boys""; ""irredeemable sinners"" ",-0.75
5330,a,irreconcilable,irreconciliable,0.0,0.5,0.5,0,1986926,"impossible to reconcile; ""irreconcilable differences"" ",-0.5
5331,a,irrecoverable,,0.0,0.5,0.5,0,1956523,incapable of being recovered or regained ,-0.5
5332,a,irredeemable,,0.0,0.5,0.5,1,917482,(of paper money) not convertible into coin at the pleasure of the holder ,-0.5
5334,a,irreducible,,0.0,0.625,0.375,0,883830,"incapable of being made smaller or simpler; ""an irreducible minimum""; ""an irreducible formula""; ""an irreducible hernia"" ",-0.625
5335,a,irrefutable,,0.0,0.875,0.125,0,721838,"impossible to deny or disprove; ""incontrovertible proof of the defendant's innocence""; ""proof positive""; ""an irrefutable argument"" ",-0.875
5336,a,irregular,,0.375,0.0,0.625,8,607202,"independent in behavior or thought; ""she led a somewhat irregular private life""; ""maverick politicians"" ",0.0
5342,a,irrelevant,,0.0,0.625,0.375,0,1976084,"having no bearing on or connection with the subject at issue; ""an irrelevant comment""; ""irrelevant allegations"" ",-0.625
5343,a,irremediable,irremediable,0.0,0.625,0.375,0,1962819,"impossible to remedy or correct or redress; ""an irremediable error""; ""irremediable defects of character"" ",-0.625
5344,a,irremovable,,0.0,0.5,0.5,0,1527075,"incapable of being removed or away or dismiss; ""irremovable boulders""; ""irremovable obstacles"" ",-0.5
5345,a,irreparable,irreparable,0.0,0.5,0.5,0,1963792,"impossible to repair, rectify, or amend; ""irreparable harm""; ""an irreparable mistake""; ""irreparable damages"" ",-0.5
5346,a,irreplaceable,,0.0,0.75,0.25,0,1978894,"impossible to replace; ""irreplaceable antiques"" ",-0.75
5347,a,irrepressible,,0.0,0.5,0.5,0,600540,"impossible to repress or control; ""an irrepressible chatterbox""; ""uncontrollable laughter"" ",-0.5
5348,a,irreproducible,irreproducible,0.0,0.5,0.5,0,1868302,impossible to reproduce or duplicate ,-0.5
5349,a,irresistible,irresistible,0.0,0.625,0.375,0,1989175,"impossible to resist; overpowering; ""irresistible (or resistless) impulses""; ""what happens when an irresistible force meets an immovable object?"" ",-0.625
5350,a,irresponsible,,0.5,0.0,0.5,0,1997910,"showing lack of care for consequences; ""behaved like an irresponsible idiot""; ""hasty and irresponsible action"" ",0.0
5351,a,irretrievable,,0.0,0.625,0.375,0,1956675,"impossible to recover or recoup or overcome; ""an irretrievable loss""; ""irretrievable errors in judgment"" ",-0.625
5352,a,irreverent,,0.0,0.625,0.375,2,1782717,not revering god ,-0.625
